date,tourism_num
2025-08-29,16308
2025-08-30,17486
2025-08-31,16857
2025-09-01,15992
2025-09-02,13707
2025-09-03,15212
2025-09-04,15874
2025-09-05,14321
2025-09-06,19859
2025-09-07,16542
2025-09-08,20406
2025-09-09,23045
2025-09-10,22820
2025-09-11,20038
2025-09-12,26352
2025-09-13,29192
2025-09-14,25686
2025-09-15,24964
2025-09-16,23880
2025-09-17,23930
2025-09-18,23168
2025-09-19,29306
2025-09-20,27479
2025-09-21,22327
2025-09-22,25151
2025-09-23,24770
2025-09-24,25653
2025-09-25,21786
2025-09-26,17908
2025-09-27,15396
2025-09-28,16386
2025-09-29,21476
2025-09-30,21691
2025-10-01,41000
2025-10-02,41000
2025-10-03,41000
2025-10-04,41000
2025-10-05,41000
2025-10-06,41000
2025-10-07,41000
2025-10-08,21277
2025-10-09,21346
2025-10-10,21061
2025-10-11,25017
2025-10-12,27687
2025-10-13,35352
2025-10-14,39081
2025-10-15,41000
2025-10-16,36151
2025-10-17,40525
2025-10-18,41000
2025-10-19,41000
2025-10-20,36140
2025-10-21,41000
2025-10-22,41000
2025-10-23,41000
2025-10-24,41000
2025-10-25,41000
2025-10-26,41000
2025-10-27,41000
2025-10-28,41000
2025-10-29,40190
2025-10-30,41000
2025-10-31,41000
2025-11-01,41000
2025-11-02,41000
2025-11-03,37554
2025-11-04,41000
2025-11-05,37480
2025-11-06,32168
2025-11-07,32558
2025-11-08,41000
2025-11-09,33882
2025-11-10,23948
2025-11-11,22478
2025-11-12,39952
2025-11-13,41000
2025-11-14,41000
2025-11-15,39965
2025-11-16,23000
2025-11-17,22752
2025-11-18,23000
2025-11-19,21856
2025-11-20,23000
2025-11-21,23000
2025-11-22,23000
2025-11-23,23000
2025-11-24,13620
2025-11-25,12098
2025-11-26,10687
2025-11-27,11204
2025-11-28,11881
2025-11-29,20196
2025-11-30,12039
2025-12-01,9104
2025-12-02,8839
2025-12-03,8094
2025-12-04,9728
2025-12-05,9613
2025-12-06,14790
2025-12-07,10264
2025-12-08,7254
2025-12-09,8788
2025-12-10,8407
2025-12-11,7323
2025-12-12,7810
2025-12-13,13877
2025-12-14,9474
2025-12-15,7030
2025-12-16,7963
2025-12-17,8204
2025-12-18,8207
2025-12-19,8346
2025-12-20,6734
2025-12-21,10069
2025-12-22,8963
2025-12-23,8322
2025-12-24,8491
2025-12-25,9184
2025-12-26,12657
2025-12-27,16298
2025-12-28,13513
2025-12-29,11942
2025-12-30,12069
2025-12-31,10170
2026-01-01,19340
2026-01-02,23000
2026-01-03,11658
2026-01-04,5995
2026-01-05,5528
2026-01-06,5133
2026-01-07,5276
2026-01-08,5697
2026-01-09,6984
2026-01-10,9331
2026-01-11,7124
2026-01-12,6430
2026-01-13,7225
2026-01-14,6633
2026-01-15,7338
2026-01-16,9368
2026-01-17,11589
2026-01-18,9369
2026-01-19,6881
2026-01-20,7483
2026-01-21,7445
2026-01-22,9190
2026-01-23,9915
2026-01-24,11171
2026-01-25,8754
2026-01-26,9358
2026-01-27,9726
2026-01-28,9667
2026-01-29,8540
2026-01-30,8270
2026-01-31,11231
2026-02-01,10920
2026-02-02,10960
2026-02-03,12874
2026-02-04,12640
2026-02-05,12398
2026-02-06,13476
2026-02-07,13875
2026-02-08,12982
2026-02-09,13797
2026-02-10,15339
2026-02-11,14612
2026-02-12,14410
